"","HF1","HF2","HF3","HFK1","HFK2","HFK3"
"peak2",57.3190088997349,17.3891654914992,122.438167143632,2.18120229753184,0,0
"peak8",25.4751150665488,2.8981942485832,34.7982159250324,0,1.85682335282102,1.43629778346344
"peak10",57.3190088997349,8.69458274574959,21.90998780465,1.09060114876592,0.206313705869003,0
"peak15",4.24585251109147,11.5927769943328,41.2423299852236,0,0.206313705869003,0
"peak16",186.817510488025,63.7602734688304,81.1958371584089,3.27180344629775,0.412627411738005,4.30889335039032
"peak19",27.5980413220946,17.3891654914992,21.90998780465,1.09060114876592,3.09470558803504,2.87259556692688
"peak22",12.7375575332744,8.69458274574959,34.7982159250324,0,0.206313705869003,0
"peak25",6.36877876663721,5.7963884971664,41.2423299852236,0,0.206313705869003,0
"peak37",12.7375575332744,17.3891654914992,45.1087984213383,0,0,0
"peak50",6.36877876663721,2.8981942485832,43.8199756093001,0,0.206313705869003,0
"peak65",89.162902732921,17.3891654914992,25.7764562407647,3.27180344629775,0.618941117607008,2.15444667519516
"peak71",114.63801779947,142.011518180577,154.658737444588,5.45300574382959,0.618941117607008,2.15444667519516
"peak72",16.9834100443659,72.4548562145799,45.1087984213383,3.27180344629775,0.206313705869003,0
"peak74",4.24585251109147,2.8981942485832,45.1087984213383,0,0,0
"peak77",46.7043776220062,0,18.0435193685353,1.09060114876592,0.206313705869003,2.87259556692688
"peak85",12.7375575332744,17.3891654914992,28.3541018648412,3.27180344629775,1.23788223521402,1.43629778346344
"peak92",159.21946916593,191.280820406491,217.811055234462,2.18120229753184,1.44419594108302,1.43629778346344
"peak99",16.9834100443659,8.69458274574959,27.065279052803,4.36240459506367,2.88839188216604,0
"peak112",16.9834100443659,8.69458274574959,42.5311527972618,0,0,0
"peak120",4.24585251109147,26.0837482372488,32.2205703009559,1.09060114876592,0,0
"peak135",65.8107139219179,11.5927769943328,18.0435193685353,3.27180344629775,0,0.71814889173172
"peak137",626.263245385992,431.830943038897,340.249222378095,151.593559678463,63.9572488193908,117.776418244002
"peak142",16.9834100443659,17.3891654914992,38.6646843611471,0,0,0
"peak151",42.4585251109147,46.3711079773312,51.5529124815295,0,0.206313705869003,2.15444667519516
"peak153",16.9834100443659,11.5927769943328,38.6646843611471,0,0,2.15444667519516
"peak164",19.1063362999116,49.2693022259144,54.1305581056059,3.27180344629775,1.65050964695202,1.43629778346344
"peak172",10.6146312777287,0,41.2423299852236,0,2.26945076455903,0.71814889173172
"peak176",36.0897463442775,8.69458274574959,24.4876334287265,0,1.85682335282102,1.43629778346344
"peak179",29.7209675776403,37.6765252315816,36.0870387370706,5.45300574382959,0.412627411738005,2.15444667519516
"peak184",29.7209675776403,5.7963884971664,23.1988106166883,0,0.206313705869003,0
"peak186",87.0399764773752,20.2873597400824,45.1087984213383,2.18120229753184,0.206313705869003,0.71814889173172
"peak189",6.36877876663721,8.69458274574959,39.9535071731853,0,1.65050964695202,1.43629778346344
"peak190",33.9668200887318,0,38.6646843611471,0,0,0
"peak194",33.9668200887318,2.8981942485832,45.1087984213383,5.45300574382959,0.82525482347601,0.71814889173172
"peak204",57.3190088997349,34.7783309829984,128.882281203824,1.09060114876592,0,0
"peak209",12.7375575332744,5.7963884971664,34.7982159250324,0,1.44419594108302,0.71814889173172
"peak214",0,8.69458274574959,51.5529124815295,2.18120229753184,1.65050964695202,0
"peak215",8.49170502218295,5.7963884971664,47.6864440454148,0,0,0
"peak217",70.0565664330093,20.2873597400824,24.4876334287265,0,0.82525482347601,0
"peak225",6.36877876663721,14.490971242916,29.6429246768794,0,0,0
"peak228",303.57845454304,57.963884971664,105.683470587135,2.18120229753184,0.412627411738005,4.30889335039032
"peak245",31.8438938331861,11.5927769943328,33.5093931129942,2.18120229753184,0,0
"peak250",33.9668200887318,0,56.7082037296824,0,0.618941117607008,0
"peak258",12.7375575332744,0,45.1087984213383,0,0,0
"peak260",14.8604837888202,2.8981942485832,41.2423299852236,0,1.03156852934501,0
"peak261",10.6146312777287,14.490971242916,34.7982159250324,0,0.412627411738005,0.71814889173172
"peak262",12.7375575332744,0,48.975266857453,1.09060114876592,0,0
"peak272",21.2292625554574,0,63.1523177898736,1.09060114876592,0,0
"peak276",125.252649077198,92.7422159546623,123.726989955671,335.905153819903,221.580920103309,431.607483930764
"peak280",8.49170502218295,14.490971242916,27.065279052803,0,0.206313705869003,0
"peak284",33.9668200887318,14.490971242916,37.3758615491089,0,0.206313705869003,0
"peak286",8.49170502218295,11.5927769943328,30.9317474889177,0,0,0
"peak299",23.3521888110031,26.0837482372488,19.3323421805736,1.09060114876592,2.06313705869003,0.71814889173172
"peak300",101.900460266195,11.5927769943328,34.7982159250324,0,0.206313705869003,0.71814889173172
"peak304",16.9834100443659,5.7963884971664,50.2640896694912,0,0.412627411738005,0
"peak309",21.2292625554574,5.7963884971664,34.7982159250324,5.45300574382959,2.47576447042803,2.15444667519516
"peak315",29.7209675776403,20.2873597400824,38.6646843611471,1.09060114876592,0,0
"peak316",16.9834100443659,5.7963884971664,64.4411406019118,0,0,0
"peak318",12.7375575332744,0,43.8199756093001,0,0,0
"peak320",163.465321677022,52.1674964744976,63.1523177898736,2.18120229753184,0.412627411738005,2.15444667519516
"peak324",61.5648614108264,17.3891654914992,85.0623055945236,1.09060114876592,0,0.71814889173172
"peak329",248.382371898851,63.7602734688304,96.6617109028678,4.36240459506367,0,2.87259556692688
"peak334",14.8604837888202,8.69458274574959,73.4629002861795,0,1.65050964695202,0
"peak342",8.49170502218295,11.5927769943328,59.2858493537589,0,0.412627411738005,0.71814889173172
"peak345",19.1063362999116,17.3891654914992,23.1988106166883,3.27180344629775,1.44419594108302,0
"peak348",53.0731563886434,34.7783309829984,175.2799024372,0,0.618941117607008,0
"peak355",44.5814513664605,23.1855539886656,24.4876334287265,1.09060114876592,0.82525482347601,1.43629778346344
"peak356",16.9834100443659,2.8981942485832,32.2205703009559,0,0.206313705869003,1.43629778346344
"peak363",38.2126725998233,43.472913728748,30.9317474889177,2.18120229753184,0.82525482347601,2.87259556692688
"peak365",14.8604837888202,2.8981942485832,30.9317474889177,0,0,0
"peak366",25.4751150665488,37.6765252315816,38.6646843611471,5.45300574382959,17.3303512929962,7.18148891731721
"peak374",33.9668200887318,28.981942485832,76.040545910256,19.6308206777865,5.57047005846307,10.7722333759758
"peak377",14.8604837888202,23.1855539886656,108.261116211212,0,1.65050964695202,0
"peak378",2.12292625554574,5.7963884971664,47.6864440454148,0,0,0
"peak386",50.9502301330977,14.490971242916,11.5994053083441,1.09060114876592,0.412627411738005,0.71814889173172
"peak392",4.24585251109147,5.7963884971664,39.9535071731853,0,0.618941117607008,0
"peak395",12.7375575332744,5.7963884971664,47.6864440454148,5.45300574382959,1.85682335282102,0.71814889173172
"peak398",27.5980413220946,0,50.2640896694912,0,0,0
"peak399",61.5648614108264,14.490971242916,105.683470587135,0,1.23788223521402,1.43629778346344
"peak403",8.49170502218295,14.490971242916,33.5093931129942,0,0,0
"peak407",21.2292625554574,34.7783309829984,24.4876334287265,3.27180344629775,1.85682335282102,2.87259556692688
"peak433",14.8604837888202,2.8981942485832,33.5093931129942,0,0,0
"peak449",21.2292625554574,26.0837482372488,86.3511284065619,0,0.618941117607008,0
"peak458",21.2292625554574,5.7963884971664,38.6646843611471,0,0,0
"peak465",40.335598855369,28.981942485832,29.6429246768794,1.09060114876592,0.618941117607008,0
"peak478",19.1063362999116,0,36.0870387370706,0,0.412627411738005,0
"peak490",4.24585251109147,23.1855539886656,24.4876334287265,1.09060114876592,0.206313705869003,0
"peak503",12.7375575332744,43.472913728748,28.3541018648412,0,0.206313705869003,0.71814889173172
"peak506",40.335598855369,20.2873597400824,52.8417352935677,1.09060114876592,0,1.43629778346344
"peak512",12.7375575332744,0,74.7517230982177,0,0.618941117607008,3.5907444586586
"peak514",12.7375575332744,8.69458274574959,34.7982159250324,0,0.206313705869003,0
"peak518",76.4253451996465,31.8801367344152,96.6617109028678,15.2684160827228,10.3156852934501,11.4903822677075
"peak519",25.4751150665488,0,48.975266857453,0,1.85682335282102,0
"peak523",40.335598855369,14.490971242916,33.5093931129942,0,2.26945076455903,3.5907444586586
"peak531",31.8438938331861,20.2873597400824,69.5964318500648,0,0,0
"peak533",25.4751150665488,17.3891654914992,20.6211649926118,0,1.03156852934501,2.15444667519516
"peak545",23.3521888110031,5.7963884971664,23.1988106166883,1.09060114876592,0.82525482347601,0
"peak556",23.3521888110031,2.8981942485832,36.0870387370706,0,0,0
"peak563",25.4751150665488,17.3891654914992,20.6211649926118,0,2.26945076455903,2.87259556692688
"peak565",14.8604837888202,0,48.975266857453,1.09060114876592,0,0
"peak568",140.113132866019,43.472913728748,94.0840652787913,22.9026241240843,16.2987827636512,15.7992756180979
"peak572",12.7375575332744,14.490971242916,25.7764562407647,0,0.206313705869003,0
"peak575",27.5980413220946,40.5747194801648,18.0435193685353,1.09060114876592,0.618941117607008,2.87259556692688
"peak587",104.023386521741,28.981942485832,30.9317474889177,3.27180344629775,0.412627411738005,1.43629778346344
"peak591",25.4751150665488,2.8981942485832,41.2423299852236,0,0,0
"peak595",44.5814513664605,5.7963884971664,20.6211649926118,0,0.412627411738005,0
"peak596",8.49170502218295,0,52.8417352935677,1.09060114876592,0.412627411738005,0
"peak599",6.36877876663721,20.2873597400824,34.7982159250324,2.18120229753184,2.26945076455903,0
"peak603",114.63801779947,95.6404102032455,167.546965564971,2.18120229753184,0.412627411738005,4.30889335039032
"peak615",16.9834100443659,11.5927769943328,23.1988106166883,0,0.412627411738005,0
"peak621",31.8438938331861,8.69458274574959,39.9535071731853,1.09060114876592,0.206313705869003,0
"peak623",42.4585251109147,2.8981942485832,18.0435193685353,2.18120229753184,0.206313705869003,0.71814889173172
"peak634",53.0731563886434,2.8981942485832,41.2423299852236,1.09060114876592,0,2.15444667519516
