peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak24646,Ctsd,ENSMUSG00000007891,P18242,13033,-0.0724229286993889,0.928050332416632,0.0164217259942305,0.922377393003971,0.00465723882252001,0.952402745734438,0.09350189351613941
peak24645,Ctsd,ENSMUSG00000007891,P18242,13033,-0.0748597205314463,0.932107724120845,0.0164217259942305,0.922377393003971,0.00465723882252001,0.952402745734438,0.0959386853481968
peak13382,Abhd17b,ENSMUSG00000047368,Q7M759,226016,0.0922289497575851,0.896853363726869,-0.00457587212074763,0.985739586454004,0.0070597656086768,0.932090009894896,0.10386458748700952
peak756,Rabif,ENSMUSG00000042229,Q91X96,98710,-0.14073515943731,0.868060082829167,0.0325573865894559,0.777266669471452,0.019021003066450302,0.734249378766992,0.19231354909321619
peak4792,Sptbn1,ENSMUSG00000020315,Q62261,20742,-0.104746134393589,0.878539555687935,0.0919345251357487,0.736330830646489,0.00861664943478171,0.771050585253211,0.2052973089641194
peak8061,Arf4,ENSMUSG00000021877,P61750,11843,-0.11192731021961,0.893317753479372,0.0440063510993055,0.790268324684774,-0.0600240810763703,0.102274197977163,0.2159577423952858
peak7000,Jarid2,ENSMUSG00000038518,Q62315,16468,-0.0316634815232344,0.973932898076098,-0.0650718400817209,0.713816830465992,0.130922421625723,0.327140120187943,0.2276577432306783
peak20965,Eif4h,ENSMUSG00000040731,Q9WUK2,22384,-0.0560126579204033,0.941252989413331,-0.0710634345502908,0.40044120148583,0.103896339061592,0.273536014079592,0.23097243153228608
peak10018,Kmt2d,ENSMUSG00000048154,Q6PDK2,381022,0.153247455913652,0.857628165598975,-0.0336383782371004,0.784266841304284,0.0518956319885566,0.112597674460323,0.23878146613930898
peak16985,Slc16a1,ENSMUSG00000032902,P53986,20501,0.0710949189637556,0.938572682962127,-0.0705574507818305,0.675280496397112,0.0973266501908532,0.168238965333528,0.23897901993643927
peak8378,Uchl3,ENSMUSG00000022111,Q9JKB1,50933,0.17051749300669,0.796673898076122,-0.0209022942787239,0.915247192019402,-0.0610225891649304,0.355899333075399,0.2524423764503443
peak15967,Ehf,ENSMUSG00000012350,O70273,13661,0.0462618816456666,0.959455281443052,0.165498375406564,0.515484633821836,-0.0477725132372997,0.489795992526031,0.2595327702895303
peak21846,Ing4,ENSMUSG00000030330,Q8C0D7,28019,-0.162441208418631,0.857325139573276,0.0801012080960098,0.635753449987259,-0.0231129482624291,0.865731192307903,0.2656553647770699
peak18102,Dhcr24,ENSMUSG00000034926,Q8VCH6,74754,0.0269361594316129,0.966208874166196,0.0489596573757008,0.756855079501567,0.202084101180795,0.0710361450526398,0.2779799179881087
peak27614,Mtm1,ENSMUSG00000031337,Q9Z2C5,17772,-0.205054453681475,0.70717583602947,0.0746352797351816,0.706609121137107,-0.00881221814664976,0.911683280584447,0.2885019515633064
peak15919,Slc35c1,ENSMUSG00000049922,Q8BLX4,228368,-0.0540502648538253,0.950646041023727,0.213803185787426,0.174486108146811,-0.0243771671355608,0.766290650833199,0.29223061777681214
peak5188,Cltc,ENSMUSG00000047126,Q68FD5,67300,-0.209420446880806,0.796673898076122,-0.0559978989219764,0.683427343498296,0.027747156973945,0.0889719963211394,0.29316550277672737
peak6445,Foxa1,ENSMUSG00000035451,P35582,15375,0.212691697758835,0.68599242423209,-0.0575830258333225,0.645322948480778,0.0311416273249926,0.677165976898048,0.3014163509171501
peak9210,Tmbim6,ENSMUSG00000023010,Q9D2C7,110213,-0.0215610728565627,0.976481695914169,0.235331551900605,0.0778159959666151,0.0513992482371043,0.188706574925817,0.308291872994272
peak21472,Znrf2,ENSMUSG00000058446,Q71FD5,387524,0.0755755237342131,0.906141632270434,0.150426446583407,0.628009564380379,0.094132382259071,0.248988299814443,0.3201343525766911
peak10293,Muc13,ENSMUSG00000022824,P19467,17063,-0.178496304038722,0.82157118411442,-0.02560202192688,0.89284344285408,-0.121882690967237,0.300078856029972,0.325981016932839
peak10952,Tmprss2,ENSMUSG00000000385,Q9JIQ8,50528,-0.220434589275372,0.68101056447242,-0.0268704504744088,0.816243016028819,-0.0797112543224033,0.32292352360689,0.3270162940721841
peak22592,Tpi1,ENSMUSG00000023456,P17751,21991,-0.0241176775846534,0.976481695914169,0.290138684813938,0.0676746152636453,-0.0182981671433771,0.509050754589385,0.3325545295419685
peak13551,Scd2,ENSMUSG00000025203,P13011,20250,-0.03976062699006,0.960126354689316,-0.280631757440578,0.345582468311916,0.0135222699569223,0.909220174175467,0.3339146543875603
peak13550,Scd2,ENSMUSG00000025203,P13011,20250,-0.0468936409397044,0.96171781373636,-0.280631757440578,0.345582468311916,0.0135222699569223,0.909220174175467,0.3410476683372047
peak23848,Rabac1,ENSMUSG00000003380,Q9Z0S9,14470,-0.114063694182638,0.907661727680302,-0.21019530926378,0.402099074014787,0.018879252924116,0.490476018915554,0.343138256370534
peak22347,Tet3,ENSMUSG00000034832,Q8BG87,194388,0.288766637639021,0.720410874264132,-0.0159293322915262,0.918501800206085,-0.042472312884077,0.672107317253302,0.3471682828146242
peak27422,Slc35a2,ENSMUSG00000031156,Q9R0M8,22232,0.136835459657021,0.850220992524421,0.112804472582366,0.560222962598254,-0.105321526617965,0.4929230148028,0.35496145885735203
peak10411,Usp25,ENSMUSG00000022867,P57080,30940,0.334916081880389,0.729393587778466,0.00373979925794197,0.930739978290351,0.0204105561207864,0.585177763100155,0.3590664372591174
peak20149,Mlxip,ENSMUSG00000038342,Q2VPU4,208104,0.262850566751218,0.706793069067624,-0.0804300915144099,0.555760609107429,-0.015796354598523,0.655920117358316,0.3590770128641509
peak23406,Tnrc6a,ENSMUSG00000052707,Q3UHK8,233833,0.0865698024540884,0.932838443760348,-0.241744595456303,0.236763906559055,-0.0335897965466502,0.62241404400685,0.3619041944570416
peak20238,Gigyf1,ENSMUSG00000029714,Q99MR1,57330,-0.128992598577412,0.887343128929741,-0.073282760020728,0.74426789200337,0.159739368311223,0.284751920569095,0.362014726909363
peak26818,Tmprss4,ENSMUSG00000032091,Q8VCA5,214523,-0.1346722830127,0.814382106532764,-0.213009387235627,0.284024335980201,0.0148713698744939,0.766207028487872,0.3625530401228209
peak13554,Scd2,ENSMUSG00000025203,P13011,20250,-0.088092695563122,0.915885150740086,-0.280631757440578,0.345582468311916,0.0135222699569223,0.909220174175467,0.3822467229606223
peak26511,Rpl14,ENSMUSG00000025794,Q9CR57,67115,-0.0282514758446362,0.976475863134068,-0.303299227483595,0.345504284576056,0.0537144771734573,0.439326236979724,0.3852651805016885
peak7125,Slc12a7,ENSMUSG00000017756,Q9WVL3,20499,0.159456889336933,0.824924243629708,-0.184559935744559,0.263422436191189,-0.0483657747833507,0.166717346611013,0.3923825998648427
peak12203,Mcfd2,ENSMUSG00000024150,Q8K5B2,193813,-0.0128506684568412,0.987122385819766,0.391960429890337,0.173610019873669,0.00443178772310717,0.965968601739647,0.40924288607028536
peak9527,Trappc9,ENSMUSG00000047921,Q3U0M1,76510,0.274733110564649,0.670452302641224,0.0669140808384595,0.722317631009959,0.0697479214436778,0.136714955191837,0.4113951128467863
peak4475,Slc9a3r1,ENSMUSG00000020733,P70441,26941,0.154037711352986,0.798937548841672,0.239021913657029,0.223682456962251,0.0218892605295951,0.742191113349646,0.4149488855396101
peak20396,Hadha,ENSMUSG00000025745,Q8BMS1,97212,-0.021963812099771,0.972148863824402,-0.376840536206554,0.0511770003107782,-0.0213340661379891,0.52684869327972,0.4201384144443141
peak27506,Uba1,ENSMUSG00000001924,Q02053,22201,-0.173621163954927,0.857628165598975,0.21244317863078,0.0990032490119952,-0.0380012339391344,0.128549173067563,0.4240655765248414
peak20250,Tsc22d4,ENSMUSG00000029723,Q9EQN3,78829,-0.312155182175972,0.650661093500679,0.0709315752499456,0.595279912468805,0.0488048826134928,0.632235657379691,0.4318916400394104
peak17969,Stx17,ENSMUSG00000061455,Q9D0I4,67727,-0.299742857204258,0.652931364956455,0.0234075339931024,0.837719166205921,-0.109881916526685,0.159910525949956,0.4330323077240454
peak15657,Surf4,ENSMUSG00000014867,Q64310,20932,-0.299172261975679,0.690975551167275,0.131600307110873,0.318230216493707,-0.0108449233142084,0.836805028278001,0.44161749240076037
peak21851,Chd4,ENSMUSG00000063870,Q6PDQ2,107932,0.368133418872927,0.629635950356173,0.0619238623008931,0.843196687701293,0.0161698467054097,0.746309138870293,0.4462271278792298
peak19777,Tmem128,ENSMUSG00000067365,Q9CZB9,66309,0.355336331551871,0.713886642497314,0.0907657644140579,0.509301209958087,0.007941749916889,0.931488211059066,0.4540438458828179
peak10948,Tmprss2,ENSMUSG00000000385,Q9JIQ8,50528,0.353365839330188,0.728075782945139,-0.0268704504744088,0.816243016028819,-0.0797112543224033,0.32292352360689,0.45994754412700006
peak18504,Rere,ENSMUSG00000039852,Q80TZ9,68703,0.425615911760653,0.551090993362092,0.00988386049010984,0.958436150899969,0.0293570907528752,0.746172154997814,0.46485686300363804
peak2135,Micu1,ENSMUSG00000020111,Q8VCX5,216001,-0.269139910132019,0.713634498851738,0.15987209811097,0.325020495875717,0.0360552384271898,0.272520121350275,0.46506724667017885
peak13006,Atp8b1,ENSMUSG00000039529,Q148W0,54670,-0.216931995653159,0.781196699910487,0.215252277868699,0.210669787178236,-0.0363727826149922,0.394996442307764,0.46855705613685017
peak931,Gpa33,ENSMUSG00000000544,Q9JKA5,59290,0.0874161241902883,0.915885150740086,0.340950511150101,0.118071653088428,0.0412031886600637,0.445578114080926,0.469569824000453
peak15923,Slc35c1,ENSMUSG00000049922,Q8BLX4,228368,0.240456485323363,0.738756013336659,0.213803185787426,0.174486108146811,-0.0243771671355608,0.766290650833199,0.47863683824634984
peak25392,Asah1,ENSMUSG00000031591,Q9WV54,11886,-0.036357750555118,0.967615962308679,0.413800681628162,0.181109307040021,-0.0325423377485752,0.281776002957092,0.4827007699318552
peak9271,Acvr1b,ENSMUSG00000000532,Q61271,11479,-0.194905776665385,0.824924243629708,0.281671450590517,0.178815002304363,-0.02328383341487,0.688966447844988,0.499861060670772
peak221,Nop58,ENSMUSG00000026020,Q6DFW4,55989,0.122728598835595,0.857628165598975,-0.281413718718392,0.182116304991103,0.0976731561636569,0.137395343925979,0.5018154737176439
