peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak18234,Nt5c1a,ENSMUSG00000054958,A3KFX0,230718,-0.342678262,0.561764358,3.118703488,1.33E-13,1.878896873,1.76E-04,5.340278623
peak16765,S100a16,ENSMUSG00000074457,Q9D708,67860,2.265078564,0.053650859,1.207801006,0.003137575,1.144860829,1.50E-04,4.617740399
peak3655,Aff4,ENSMUSG00000049470,Q9ESC8,93736,2.390417739,0.059791177,1.864548922,1.95E-08,0.163179852,0.031813352,4.418146514
peak26137,Anxa2,ENSMUSG00000032231,P07356,12306,1.992264327,0.069057049,1.362244365,3.39E-10,0.87355314,0.000398081,4.228061832
peak25303,Irs2,ENSMUSG00000038894,P81122,384783,1.567452332,0.054688937,1.692116191,1.02E-09,0.536596586,7.99E-04,3.796165108
peak6619,Ston2,ENSMUSG00000020961,Q8BZ60,108800,1.555167918,0.072974998,1.632422079,5.43E-14,0.59659278,0.012484681,3.784182777
peak15768,Itgb6,ENSMUSG00000026971,Q9Z0T9,16420,1.382166766,0.130055587,1.465910508,4.69E-07,0.606362717,0.001100582,3.45443999
peak18922,Zdhhc21,ENSMUSG00000028403,Q9D270,68268,1.883218219,0.055648018,0.962914797,0.008290133,0.440188553,0.003786958,3.28632157
peak1260,Fhl2,ENSMUSG00000008136,O70433,14200,1.018866159,0.309598925,1.50172444,6.31E-07,0.711389132,8.50E-04,3.231979731
peak3377,Dgka,ENSMUSG00000025357,O88673,13139,2.209314456,0.0558288,0.712002662,0.001546044,0.305810793,0.005371586,3.227127911
peak21682,Tmem43,ENSMUSG00000030095,Q9DBS1,74122,1.342566996,0.098969573,1.32651325,6.83E-08,0.468773139,2.03E-04,3.137853385
peak26614,Endod1,ENSMUSG00000037419,Q8C522,71946,2.107105154,0.07806758,0.499052332,0.009036036,0.485341473,4.68E-04,3.091498959
peak21679,Tmem43,ENSMUSG00000030095,Q9DBS1,74122,1.293215884,0.179385436,1.32651325,6.83E-08,0.468773139,2.03E-04,3.088502273
peak8053,Anxa11,ENSMUSG00000021866,P97384,11744,2.058384291,0.062796248,0.862657742,1.81E-09,0.141384083,0.018989349,3.062426116
peak12652,Npc1,ENSMUSG00000024413,O35604,18145,1.637680795,0.061357599,0.81659354,5.60E-06,0.590314836,0.003294126,3.044589171
peak1697,Nek7,ENSMUSG00000026393,Q9ES74,59125,-1.401550038,0.074620212,1.103981853,3.44E-08,0.30665254,1.76E-04,2.812184431
peak22982,Rhpn2,ENSMUSG00000030494,Q8BWR8,52428,1.771582376,0.112692957,0.838012269,0.003002751,0.120156265,6.80E-05,2.72975091
peak17338,Fam160a1,ENSMUSG00000051000,Q505K2,229488,-1.594691695,0.061716888,0.865860721,1.56E-05,0.247194352,0.009507686,2.707746768
peak3374,Dgka,ENSMUSG00000025357,O88673,13139,1.488330524,0.069769145,0.712002662,0.001546044,0.305810793,0.005371586,2.50614398
peak16879,Otud7b,ENSMUSG00000038495,B2RUR8,229603,1.469459014,0.142551544,0.815605605,8.72E-05,0.188276244,2.94E-04,2.473340863
peak4100,Sdf2,ENSMUSG00000002064,Q9DCT5,20316,1.613939571,0.096152675,0.681726512,6.75E-07,0.171665898,0.020750306,2.467331981
peak5875,Sdc1,ENSMUSG00000020592,P18828,20969,-0.519807185,0.429993005,1.329579798,1.45E-07,0.597652402,0.021549598,2.447039384
peak4024,Crk,ENSMUSG00000017776,Q64010,12928,1.799026514,0.075593675,0.441041521,0.009885493,0.183042852,1.04E-04,2.423110887
peak23788,Vasp,ENSMUSG00000030403,P70460,22323,-1.205353999,0.085090777,0.87219402,1.35E-09,0.296396182,2.93E-06,2.373944201
peak26772,Sorl1,ENSMUSG00000049313,O88307,20660,-1.359050673,0.148532888,0.819954945,0.007971619,0.132242077,0.010732731,2.311247695
peak8618,Exoc5,ENSMUSG00000061244,Q3TPX4,105504,1.605946223,0.11195659,0.552666157,0.02998134,0.131740069,1.02E-04,2.290352449
peak15771,Rbms1,ENSMUSG00000026970,Q91W59,56878,1.347598237,0.143997334,0.472464528,0.011380936,0.460141413,0.007316987,2.280204177
peak21209,Baiap2l1,ENSMUSG00000038859,Q9DBJ3,66898,-1.492232769,0.058361595,0.583018169,0.012269271,0.196804183,0.012665629,2.272055122
peak1520,Stk25,ENSMUSG00000026277,Q9Z2W1,59041,1.354150486,0.070189461,0.664931217,0.002785015,0.189078084,0.006416061,2.208159788
peak4322,Lasp1,ENSMUSG00000038366,Q61792,16796,1.054164712,0.168393198,0.902619924,2.48E-06,0.245212101,0.001741418,2.201996737
peak8119,Glud1,ENSMUSG00000021794,P26443,14661,1.466328762,0.144548056,0.524761624,0.001251367,0.177074865,0.019400231,2.168165251
peak1522,Stk25,ENSMUSG00000026277,Q9Z2W1,59041,-1.313499977,0.080451674,0.664931217,0.002785015,0.189078084,0.006416061,2.167509279
peak14542,Lrrc8a,ENSMUSG00000007476,Q80WG5,241296,-0.850246321,0.23865466,0.933827166,2.91E-04,0.374711998,1.16E-04,2.158785484
peak3652,Aff4,ENSMUSG00000049470,Q9ESC8,93736,0.057332324,0.935359784,1.864548922,1.95E-08,0.163179852,0.031813352,2.085061099
peak19460,Pgd,ENSMUSG00000028961,Q9DCD0,110208,-1.583433679,0.052905207,0.398580051,0.025390932,0.094954691,0.001689494,2.076968422
peak19703,Fosl2,ENSMUSG00000029135,P47930,14284,-1.187361813,0.066381246,0.498649239,0.028650402,0.374992847,4.70E-04,2.061003899
peak11239,Pde9a,ENSMUSG00000041119,O70628,18585,-0.09619588,0.914262947,1.532207505,1.33E-05,0.42001888,0.003606177,2.048422265
peak5051,Cpd,ENSMUSG00000020841,O89001,12874,1.252494056,0.079789871,0.637540028,0.013233573,0.07833217,0.022027958,1.968366254
peak13022,Rab27b,ENSMUSG00000024511,Q99P58,80718,-0.553290144,0.415252375,0.779547208,0.002046142,0.617328606,4.95E-05,1.950165958
peak18916,Zdhhc21,ENSMUSG00000028403,Q9D270,68268,0.516394548,0.550164241,0.962914797,0.008290133,0.440188553,0.003786958,1.919497898
