"","X","Protein.Id","...2","Gene.Symbol","p_values","q_values","foldChange","LFC"
"4669",4669,"P09528","FRIH_MOUSE","Fth1",0.0102399467297393,0.0565414108669841,-2.37632680076342,-1.24873325424469
"4183",4183,"P97864","CASP7_MOUSE","Casp7",0.0145751812272951,0.0678443289194349,-1.23786308882578,-0.307851757205741
"4420",4420,"P51432","PLCB3_MOUSE","Plcb3",0.000172581919779045,0.00874514051941781,-1.15219536160105,-0.204385355076425
"3901",3901,"Q5H8C4","VP13A_MOUSE","Vps13a",0.00621933842938341,0.0447344709364047,-1.10622422205909,-0.145643836989238
"3659",3659,"Q9R111","GUAD_MOUSE","Gda",0.00467520820496351,0.0389330348578645,-1.44838181073331,-0.53444196419017
"2385",2385,"Q9WTP7","KAD3_MOUSE","Ak3",0.0281409789401409,0.0987778619916086,-1.09134603098797,-0.12610860673857
"7113",7113,"Q8BLR5","PSD4_MOUSE","Psd4",0.00482594114677991,0.0395824177878099,-1.17358928838266,-0.230927608377063
"6904",6904,"P01887","B2MG_MOUSE","B2m",0.0139909087227491,0.0665093212992714,-3.38526308535045,-1.75926795704448
"1570",1570,"Q80U87","UBP8_MOUSE","Usp8",0.0164377669362568,0.0724735904736854,-1.07967670912132,-0.110599386490805
"6376",6376,"Q60767","LY75_MOUSE","Ly75",0.0253359525698242,0.0925959287605621,-1.28239210570188,-0.358837449522904
"1941",1941,"O88466","ZN106_MOUSE","Znf106",0.0139167621116165,0.0664179506391239,-1.21975661380347,-0.286593305912516
"3521",3521,"Q99PL5","RRBP1_MOUSE","Rrbp1",0.00082984355801527,0.0170588243752207,-1.31920149394856,-0.399664937689536
"3625",3625,"A3KFM7","CHD6_MOUSE","Chd6",0.0204010721262344,0.0821782574640668,-1.45418053761802,-0.540206392061733
"1833",1833,"P03958","ADA_MOUSE","Ada",0.00601174170817336,0.0437416426792094,-1.39652941767573,-0.481845964085374
"1473",1473,"Q3U0X6","Q3U0X6_MOUSE","Zfp217",0.00898709608846365,0.0531758298524823,-1.20269716722624,-0.266273425273529
"1511",1511,"Q9QY24","ZBP1_MOUSE","Zbp1",0.0111987218329848,0.0590774200898442,-2.91749691484916,-1.54473113033394
"1174",1174,"Q9WUU6","HNF4G_MOUSE","Hnf4g",0.00736884586180192,0.048654652975862,-1.3009819445471,-0.379600940001045
"79",79,"Q3U1F9","PHAG1_MOUSE","Pag1",0.000588602097409733,0.0150582498964289,-1.29702900186981,-0.375210738946562
"3812",3812,"Q8VDN2","AT1A1_MOUSE","Atp1a1",0.0251079192663935,0.0920097571320331,-1.28455014527158,-0.361263210147292
"830",830,"P23249","MOV10_MOUSE","Mov10",0.000445410729154174,0.0134629517060267,-1.38158170742719,-0.46632088637352
"3557",3557,"Q9CZS1","AL1B1_MOUSE","Aldh1b1",6.93539967945476e-06,0.00350027621820536,-1.39621934849671,-0.48152560926209
"755",755,"Q6PDJ1","CAHD1_MOUSE","Cachd1",0.0152014298250444,0.0695007668359593,-1.20461884542505,-0.268576734171844
"3972",3972,"Q8BT60","CPNE3_MOUSE","Cpne3",0.013463793101556,0.0654311094290272,-1.30115599836222,-0.379793940204578
"6286",6286,"P15535","B4GT1_MOUSE","B4galt1",0.00366213903990643,0.0344317012726687,-1.38863301206768,-0.473665374246877
"3502",3502,"P26039","TLN1_MOUSE","Tln1",0.00340182269299933,0.033116478047166,-1.21039283011837,-0.27547534674585
"2120",2120,"Q60793","KLF4_MOUSE","Klf4",0.0123438627206272,0.0625315106536552,-1.26778253729963,-0.342307301261934
"7535",7535,"P61793","LPAR1_MOUSE","Lpar1",0.0241321112292582,0.0903404402486131,-1.44905716684855,-0.535114511873475
"7310",7310,"Q8BZT5","LRC19_MOUSE","Lrrc19",0.0233309915754151,0.0886034976667018,-1.41382679222304,-0.499605386549717
"4232",4232,"Q91YT7","YTHD2_MOUSE","Ythdf2",0.000475196179005944,0.0138247501278762,-1.19935643212999,-0.262260471470083
"7328",7328,"P12804","FGL2_MOUSE","Fgl2",0.0151078480460998,0.0693935899880449,-1.35327623118691,-0.436456352757159
"6139",6139,"Q91WC9","DGLB_MOUSE","Daglb",0.00028416606544148,0.0105894030140088,-1.49613322388812,-0.581238646405449
"6491",6491,"O08785","CLOCK_MOUSE","Clock",0.00264809361246292,0.0296239778873757,-1.27686161139143,-0.352602171572925
"947",947,"P97379","G3BP2_MOUSE","G3bp2",0.025822275044431,0.0937853078048959,-1.31903287023173,-0.399480516924129
"3286",3286,"Q3UPL0","SC31A_MOUSE","Sec31a",0.0162045013565272,0.0719113298372043,-1.06044556781516,-0.084670569893894
"5004",5004,"Q8CHI8","EP400_MOUSE","Ep400",0.00946722956295401,0.0544866434860844,-1.28768870188518,-0.364783864781749
"1122",1122,"Q3UDK1","TRAD1_MOUSE","Trafd1",0.00301125316502771,0.0311396728811431,-1.35838145885078,-0.441888672155393
"3781",3781,"Q9CZD3","SYG_MOUSE","Gars",0.00161593785272029,0.0231024263899261,-1.12749999148069,-0.173127422579755
"7822",7822,"Q9CR60","GOT1B_MOUSE","Golt1b",0.025887008582957,0.0938533438673977,-1.42991636519529,-0.515930767250809
"4822",4822,"P62257","UBE2H_MOUSE","Ube2h",0.0253191588002846,0.0925760102908255,-1.42632618342858,-0.512303946299616
"3133",3133,"O88569","ROA2_MOUSE","Hnrnpa2b1",0.0117545063395344,0.0607625049948564,-1.16087831114324,-0.215216749885325
"5684",5684,"Q8VD31","TPSNR_MOUSE","Tapbpl",0.000119801498468297,0.00798073492881529,-2.0641079106365,-1.04551839618296
"7141",7141,"Q6J9G1","STYK1_MOUSE","Styk1",0.00197624131075792,0.0255191540143914,-1.32253551598893,-0.403306465668682
"5278",5278,"P62317","SMD2_MOUSE","Snrpd2",0.014776631520392,0.0684016391593414,-1.32210450520781,-0.402836218590052
"2461",2461,"Q60997","DMBT1_MOUSE","Dmbt1",0.00597702430591599,0.0435911486689727,-1.28519509127534,-0.361987375646329
"7731",7731,"P35762","CD81_MOUSE","Cd81",0.00340165949821624,0.033116478047166,-1.60751927536353,-0.684836036654097
