"","Var1","Freq"
"526","Eif6",1
"527","Elf1",1
"528","Elf3",3
"529","Elf4",6
"530","Elk4",3
"531","Ell2",2
"532","Elmsan1",2
"533","Elovl1",2
"534","Elovl6",3
"535","Elovl7",1
"536","Emd",1
"537","Emp1",12
"538","Endod1",1
"539","Eno1",1
"540","Eno3",1
"541","Enox2",1
"542","Entpd5",6
"543","Entpd6",3
"544","Ep300",2
"545","Ep400",1
"546","Epas1",2
"547","Epb41l1",1
"548","Epb41l3",1
"549","Epb41l4b",1
"550","Epc1",1
"551","Epcam",3
"552","Epg5",1
"553","Epha2",6
"554","Epn1",3
"555","Eppk1",1
"556","Eps8",2
"557","Eps8l2",1
"558","Eps8l3",3
"559","Erbb2",4
"560","Erbb2ip",4
"561","Erbb3",6
"562","Ercc3",2
"563","Erlin1",1
"564","Erlin2",2
"565","Ero1l",1
"566","Erp29",1
"567","Errfi1",8
"568","Espn",1
"569","Esrp1",6
"570","Esyt2",5
"571","Etf1",1
"572","Etfa",1
"573","Ethe1",1
"574","Etl4",2
"575","Etnk1",3
"576","Ewsr1",1
"577","Exoc5",3
"578","Exoc6b",1
"579","Ezh1",1
"580","Ezr",1
"581","F11r",7
"582","F2rl1",10
"583","Fabp2",1
"584","Fads3",1
"585","Fam102a",4
"586","Fam107b",1
"587","Fam117b",1
"588","Fam120a",4
"589","Fam134a",1
"590","Fam13a",2
"591","Fam13b",1
"592","Fam160a1",2
"593","Fam162a",1
"594","Fam168b",2
"595","Fam204a",2
"596","Fam208a",2
"597","Fam208b",1
"598","Fam214b",6
"599","Fam234a",4
"600","Fam46a",1
"601","Fam63b",1
"602","Fam78a",1
"603","Fam83e",1
"604","Fam8a1",1
"605","Fam96a",1
"606","Far1",2
"607","Farp1",1
"608","Fasn",3
"609","Fat1",2
"610","Fbrsl1",1
"611","Fbxl19",1
"612","Fbxl20",1
"613","Fbxl5",1
"614","Fbxo18",1
"615","Fbxo25",1
"616","Fbxo32",4
"617","Fcgbp",8
"618","Fcho2",1
"619","Fchsd2",1
"620","Fem1c",2
"621","Fer1l6",2
"622","Fez2",6
"623","Fgd4",3
"624","Fgl2",1
"625","Fh1",1
"626","Fhl1",6
"627","Fhl2",1
"628","Fignl2",1
"629","Flii",1
"630","Flnb",3
"631","Flrt3",1
"632","Fmo5",1
"633","Fmr1",1
"634","Fnbp1l",1
"635","Fndc1",1
"636","Fndc3a",2
"637","Fndc3b",2
"638","Fos",5
"639","Fosl2",4
"640","Foxd2",1
"641","Foxn3",1
"642","Foxo3",6
"643","Foxp1",1
"644","Foxred1",1
"645","Frat2",1
"646","Frk",1
"647","Frs2",1
"648","Fry",1
"649","Fryl",4
"650","Fth1",4
"651","Ftl1",1
"652","Fuk",1
"653","Fundc1",1
"654","Fus",2
"655","Fut8",1
"656","Fzd5",1
"657","Fzd6",1
"658","G3bp2",3
"659","Gabpa",1
"660","Gal3st1",2
"661","Gale",2
"662","Galnt1",1
"663","Galnt3",1
"664","Galnt4 Poc1b",1
"665","Galnt7",3
"666","Gapdh",1
"667","Garem1",1
"668","Gars",2
"669","Gata6",1
"670","Gatad2b",1
"671","Gbf1",2
"672","Gbp7",1
"673","Gcc2",1
"674","Gcnt1",2
"675","Gcnt2",1
"676","Gcnt3",11
"677","Gda",2
"678","Gdpgp1",1
"679","Gfpt1",7
"680","Gga3",1
"681","Ggact",1
"682","Ggnbp2",1
"683","Gigyf1",2
"684","Git2",1
"685","Gjb3",2
"686","Gla",1
"687","Glg1",3
"688","Glmp",1
"689","Glrx",1
"690","Glud1",1
"691","Glul",4
"692","Gm22589 Ddx39b",1
"693","Gm26330 Rps8",1
"694","Gmds",2
"695","Gmeb2",1
"696","Gna11",3
"697","Gna12",1
"698","Gna13",1
"699","Gna14",2
"700","Gnai2",3
"701","Gnai3",1
"702","Gnas",1
"703","Gne",2
"704","Gng12",2
"705","Gnl3l",1
"706","Golga1",1
"707","Golga3",1
"708","Golga4",1
"709","Golga7",3
"710","Golm1",4
"711","Golph3l",2
"712","Golt1b",2
"713","Gosr2",1
"714","Got1",1
"715","Gpa33",5
"716","Gpatch3 Gpn2",1
"717","Gpatch8",1
"718","Gpbp1 RP23-359G8.3",1
"719","Gpcpd1",1
"720","Gpi1",1
"721","Gpr137b",2
"722","Gpr35",1
"723","Gprc5a",12
"724","Gramd3",3
"725","Grb7",1
"726","Grsf1",1
"727","Gsap",1
"728","Gsdmc4",1
"729","Gsn",1
"730","Gstm1",1
"731","Gstp1",1
"732","Gt(ROSA)26Sor",1
"733","Gtpbp2",5
"734","Guca2a",2
"735","Gucd1",6
"736","Gucy2c",1
"737","Gusb",1
"738","Gxylt1",1
"739","Gyg",1
"740","H1f0",3
"741","H2-D1",2
"742","H2-Eb1",1
"743","H2-K1",2
"744","H2afy",2
"745","Hacd1",1
"746","Hacd2",1
"747","Hace1",2
"748","Hadhb",1
"749","Hao2",1
"750","Hars",1
"751","Hbegf",6
"752","Hbp1",2
"753","Hcfc1",1
"754","Hdac9",1
"755","Heatr5b",1
"756","Heatr6",1
"757","Hectd1",2
"758","Hectd3",2
"759","Helz2",4
"760","Heph",3
"761","Herpud1",1
"762","Hic2",1
"763","Hif1a",1
"764","Hif1an",2
"765","Hint1",1
"766","Hipk1",1
"767","Hipk3",2
"768","Hist1h1c",4
"769","Hist1h1e Hist1h2be",1
"770","Hist1h2ac",1
"771","Hist1h2bj",1
"772","Hist1h2bk",1
"773","Hk2",3
"774","Hmg20a",1
"775","Hmgcr",6
"776","Hmgcs2",1
"777","Hmox2",1
"778","Hnf1b",1
"779","Hnf4a",3
"780","Hnf4g",2
"781","Hnrnpa2b1",1
"782","Hnrnpl",1
"783","Hoxa3 Hoxa6",1
"784","Hoxa7",2
"785","Hp1bp3",2
"786","Hpgd",2
"787","Hpgds",1
"788","Hprt",1
"789","Hsd11b2",2
"790","Hsd17b11",1
"791","Hsd17b12",1
"792","Hsd17b2",2
"793","Hsd17b7",1
"794","Hsd3b3",1
"795","Hspa8",1
"796","Htt",1
"797","Huwe1",3
"798","Ibtk",1
"799","Ick",1
"800","Icosl",1
"801","Ide",1
"802","Idh1",2
"803","Ier2",2
"804","Iffo2",1
"805","Ifih1",1
"806","Ifit1",1
"807","Ifit1bl1",1
"808","Ifitm3",1
"809","Ifngr1",4
"810","Ifngr2",4
"811","Igf2r",3
"812","Ighv3-6",1
"813","Igkv8-30",1
"814","Igsf5",2
"815","Igsf9",4
"816","Ihh",2
"817","Ik",1
"818","Ikbkap",1
"819","Il10rb",2
"820","Il17rc Creld1",1
"821","Il18bp",1
"822","Il1rn",1
"823","Ildr1",2
"824","Imp4",1
"825","Impact",1
"826","Impad1",2
"827","Ing4",3
"828","Insig1",5
"829","Insig2",1
"830","Insr",2
"831","Ip6k1",1
"832","Ip6k2",1
"833","Ipmk",8
"834","Iqgap2",4
"835","Ireb2",1
"836","Irf1",3
"837","Irf7",1
"838","Irgm1",1
"839","Irs2",5
"840","Ist1",6
"841","Isx",2
"842","Itch",1
"843","Itfg1",1
"844","Itga2",1
"845","Itga3",6
"846","Itga6",8
"847","Itgav",2
"848","Itgb1",1
"849","Itgb4",1
"850","Itgb6",1
"851","Itih5",3
"852","Itm2b",1
"853","Itpk1",2
"854","Ivns1abp",3
"855","Jarid2",1
"856","Jmjd1c",1
"857","Jun",4
"858","Junb",2
"859","Jup",1
"860","Kalrn",1
"861","Kat6a",1
"862","Kat7",1
"863","Kbtbd11",1
"864","Kbtbd2",2
"865","Kbtbd4",1
"866","Kcmf1",2
"867","Kcnk5",4
"868","Kcnk6",1
"869","Kcnn4",1
"870","Kctd10",5
"871","Kctd3",1
"872","Kctd5",1
"873","Kdelr1",1
"874","Kdelr2",2
"875","Kdm6a",1
"876","Kdm6b",4
"877","Kdm7a",3
"878","Khnyn",6
"879","Khsrp",3
"880","Kif13a",1
"881","Kif13b",3
"882","Kif21b",2
"883","Kif5b",1
"884","Klf10",1
"885","Klf3",8
"886","Klf4",3
"887","Klf5",1
"888","Klf6",12
"889","Klf9",2
"890","Klhdc3",1
"891","Klhl28",1
"892","Klhl9",1
"893","Klk1",2
"894","Kmt2b",1
"895","Kmt2c",2
"896","Kmt2d",2
"897","Kmt2e",1
"898","Kpna1",1
"899","Krt19",2
"900","Krt20",3
"901","Ksr1",1
"902","Kxd1",1
"903","Lad1",1
"904","Lamb3",2
"905","Lamc2",1
"906","Lamp2",1
"907","Lamtor4",2
"908","Laptm4a",2
"909","Larp4b",1
"910","Lasp1",4
"911","Lcorl",1
"912","Ldha",3
"913","Ldlr",6
"914","Ldlrap1",1
"915","Lgals3bp",4
"916","Lgals4",1
"917","Lgals8",1
"918","Lgalsl",3
"919","Lgr4",3
"920","Lhfpl2",5
"921","Lig1",1
"922","Lima1",1
"923","Limk2",1
"924","Lin7c",3
"925","Lipg",6
"926","Liph",3
"927","Lipt2",2
"928","Litaf",4
"929","Llgl2",2
"930","Lman2",1
"931","Lman2l",1
"932","Lmbr1l",1
"933","Lmbrd1",1
"934","Lmbrd2",1
"935","Lmna",1
"936","Lmo7",4
"937","Lnpep",1
"938","Lpar1",2
"939","Lpar6",1
"940","Lpin2",2
"941","Lpp",3
"942","Lrch4",1
"943","Lrig1",1
"944","Lrmp",1
"945","Lrp1",2
"946","Lrp10",2
"947","Lrp5",1
"948","Lrrc19",1
"949","Lrrc58",1
"950","Lrrc8a",3
"951","Lrrc8a RP23-395P6.10",5
"952","Lrrfip1",2
"953","Lrrk1",1
"954","Lrwd1",1
"955","Lurap1l",2
"956","Luzp1",1
"957","Ly6a",4
"958","Ly6e",1
"959","Ly6g",2
"960","Ly6g6c",1
"961","Ly75",1
"962","Lypd8",5
"963","Lypla2",1
"964","Macf1",1
"965","Madcam1",1
"966","Madd",1
"967","Magi1",3
"968","Magi3",1
"969","Magt1",1
"970","Mal2",5
"971","Malat1",31
"972","Mall",6
"973","Mampt",1
"974","Man1a2",2
"975","Man1b1",1
"976","Man2b1",1
"977","Maoa",2
"978","Map2k1",2
"979","Map2k3",4
"980","Map2k4",1
"981","Map3k1",1
"982","Map3k2",1
"983","Map3k9",2
"984","Map7",1
"985","Mapk14",1
"986","Mapk3",2
"987","Mapk6",4
"988","Mapre2",1
"989","March3",2
"990","March6",3
"991","March7",1
"992","March8",1
"993","Marcksl1",3
"994","Mark3",1
"995","Marveld2",2
"996","Marveld3",1
"997","Mast2",1
"998","Mast4",1
"999","Matr3",1
"1000","Mau2",1
"1001","Max",3
"1002","Mbnl1",3
"1003","Mbnl2",2
"1004","Mboat1",8
"1005","Mcfd2",4
"1006","Mcl1",13
"1007","Mcts1",1
"1008","Mcu",3
"1009","Mdh1",1
"1010","Mdm4",2
"1011","Me2",1
"1012","Med13",1
"1013","Mef2a",1
"1014","Memo1",2
"1015","Metap2",1
"1016","Metrnl",1
"1017","Mettl7b",1
"1018","Mfn1",1
"1019","Mfn2",2
"1020","Mfsd14a",1
"1021","Mfsd4",3
"1022","Mgam",1
"1023","Mgat3",3
"1024","Mgat4a",7
"1025","Mgat4c",4
"1026","Mgat5",2
"1027","Mgst1",1
"1028","Mgst2",2
"1029","Mgst3",1
"1030","Mia2",1
"1031","Mib1",1
"1032","Micall2",1
"1033","Micu1",2
"1034","Mid1ip1",3
"1035","Midn",2
"1036","Mier1",1
"1037","Mier3",4
"1038","Minpp1",1
"1039","Misp",2
"1040","Mkl1",1
"1041","Mkl2",1
"1042","Mkln1",1
"1043","Mknk1",1
"1044","Mknk2",3
"1045","Mlec",1
"1046","Mlf2",1
"1047","Mlh3",1
"1048","Mlkl",1
"1049","Mllt4",2
"1050","Mlxip",1
"1051","Mmadhc",1
"1052","Mmp14",1
"1053","Mmp15",1
"1054","Mnt",1
"1055","Mob1a",1
"1056","Morf4l2",1
"1057","Mov10",1
"1058","Mpdu1",3
"1059","Mpp1",1
"1060","Mprip",1
"1061","Mpzl3",3
"1062","Mrfap1",1
"1063","Mroh3",1
"1064","Mrpl12",1
"1065","Mrpl15",1
"1066","Mrpl36",1
"1067","Mrps24",1
"1068","Mrps6",1
"1069","Mrs2",1
"1070","Ms4a12",1
"1071","Ms4a8a",1
"1072","Msl1",1
"1073","Msl2",1
"1074","Msmo1",2
"1075","Msrb1",1
"1076","mt-Co1",8
"1077","mt-Cytb",6
"1078","mt-Nd1",7
"1079","mt-Nd2",2
"1080","mt-Nd3",1
"1081","mt-Nd4",5
"1082","mt-Nd5",7
"1083","mt-Nd6",2
"1084","mt-Rnr2",1
"1085","mt-Tc",1
"1086","mt-Ti",1
"1087","mt-Tq",1
"1088","Mt2",2
"1089","Mtf1",1
"1090","Mtf2",1
"1091","Mtfr1",2
"1092","Mthfd1l",1
"1093","Mtmr11",1
"1094","Mtmr14",1
"1095","Mtmr6",4
"1096","Mtmr7",2
"1097","Mto1",1
"1098","Mtpn",2
"1099","Mtus1",2
"1100","Muc13",3
"1101","Muc2",20
"1102","Muc3",13
"1103","Muc3a",1
"1104","Muc4",2
"1105","Mvd",1
"1106","Mxd1",15
"1107","Mxi1",1
"1108","Myadm",1
"1109","Mybbp1a",1
"1110","Myh14",4
"1111","Myh9",7
"1112","Myl12b",1
"1113","Myl6 Myl6b",1
"1114","Mylk",1
"1115","Myo10",1
"1116","Myo18a",1
"1117","Myo19",1
"1118","Myo1a",3
"1119","Myo1c",1
"1120","Myo1d",1
"1121","Myo5b",2
"1122","Myo6",2
"1123","Myo7b",3
"1124","Mysm1",1
"1125","Myzap",3
"1126","Nab1",1
"1127","Nabp1",1
"1128","Nadsyn1",1
"1129","Naip1",3
"1130","Naip6",1
"1131","Narf",2
"1132","Nbeal2",3
"1133","Nbeal2 Nradd",1
"1134","Nbr1",2
"1135","Ncapd2",1
"1136","Nck1",1
"1137","Nckap1",4
"1138","Ncln",4
"1139","Ncoa2",1
"1140","Ncoa3",1
"1141","Ncoa7",1
"1142","Ncor2",2
"1143","Ncstn",3
"1144","Ndel1",1
"1145","Ndfip2",1
"1146","Ndrg1",1
"1147","Ndst1",1
"1148","Ndufa3",2
"1149","Ndufa4",1
"1150","Ndufa7",1
"1151","Ndufs8 Tcirg1",1
"1152","Ndufv2",1
"1153","Neat1",13
"1154","Necap2",2
"1155","Nedd4",3
"1156","Nek6",1
"1157","Nek7",1
"1158","Nelfa",1
"1159","Net1",4
"1160","Neu1",2
"1161","Neurl4",1
"1162","Nfat5",1
"1163","Nfatc3",1
"1164","Nfe2l2",2
"1165","Nfya",1
"1166","Nfyb",1
"1167","Ngef",1
"1168","Nhlrc3",2
"1169","Nipa2",1
"1170","Nipal1",3
"1171","Nipsnap1",1
"1172","Nipsnap3b",2
"1173","Nkiras2",1
"1174","Nlrp6",1
"1175","Nlrp9b",1
"1176","Nol4l",4
"1177","Nop56",1
"1178","Npc1",2
"1179","Npepps",4
"1180","Nr1d2",1
"1181","Nr1h4",1
"1182","Nr3c1",3
"1183","Nr3c2",12
"1184","Nr5a2",1
"1185","Nras",2
"1186","Nrbp1",4
"1187","Nrd1",2
"1188","Nrep",1
"1189","Nrip1",1
"1190","Nsd1",2
"1191","Nsd3",1
"1192","Nt5c",1
"1193","Nt5e",5
"1194","Nuak2",4
"1195","Nucb1",1
"1196","Nudt19",1
"1197","Nudt4",3
"1198","Nufip2",1
"1199","Nup153",1
"1200","Nup160",1
"1201","Nup205",1
"1202","Nup62",1
"1203","Nup88",1
"1204","Nupl1",1
"1205","Nus1",1
"1206","Nxpe2",1
"1207","Oas2",1
"1208","Oas3",1
"1209","Oasl1",1
"1210","Oasl2",1
"1211","Ocln",1
"1212","Odc1",1
"1213","Ogdh",2
"1214","Oit1",2
"1215","Osbpl3",1
"1216","Ostf1",3
"1217","Ostm1",1
"1218","Otud4",2
"1219","Otud7b",1
"1220","Oxct1",3
"1221","P2rx4",2
"1222","P4hb",1
"1223","Pacsin2",1
"1224","Pafah1b1",1
"1225","Pag1",1
"1226","Pank3",3
"1227","Papola",3
"1228","Papss2",1
"1229","Paqr4",1
"1230","Pard3",2
"1231","Pard3b",3
"1232","Pard6b",5
"1233","Parm1",4
"1234","Parp12",3
"1235","Parp14",2
"1236","Parp16",2
"1237","Pbx1",1
"1238","Pcbp1",1
"1239","Pccb",1
