peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak7212,Serinc5,ENSMUSG00000021703,Q8BHJ6,218442,3.01051585,7.35E-05,1.455658577,1.34E-06,0.704971298,0.002071487,5.171145726
peak14747,Dhrs9,ENSMUSG00000027068,Q58NB6,241452,2.767809456,0.014000319,2.026300298,8.05E-10,0.354391462,0.048141973,5.148501215
peak21933,Gprc5a,ENSMUSG00000046733,Q8BHL4,232431,2.791095224,4.54E-04,1.694857325,8.77E-12,0.636374764,9.79E-04,5.122327313
peak7934,Itga2,ENSMUSG00000015533,Q62469,16398,3.038290651,0.025257077,0.808186336,0.021183386,1.2042328,4.81E-04,5.050709787
peak4716,Actr2,ENSMUSG00000020152,P61161,66713,4.507389704,0.003261357,0.366342153,0.006191363,0.140137289,0.001588243,5.013869145
peak16868,Mcl1,ENSMUSG00000038612,P97287,17210,3.578615636,0.01567841,1.124991075,3.88E-05,0.224088955,0.002882615,4.927695666
peak16757,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.849097317,0.034526236,1.696697901,1.05E-04,1.331322338,5.00E-04,4.877117556
peak9615,Plec,ENSMUSG00000022565,Q9QXS1,18810,2.882281355,8.27E-04,1.334519262,2.07E-05,0.581561376,6.29E-07,4.798361994
peak14753,Dhrs9,ENSMUSG00000027068,Q58NB6,241452,2.394496758,2.62E-04,2.026300298,8.05E-10,0.354391462,0.048141973,4.775188517
peak18617,Cpne3,ENSMUSG00000028228,Q8BT60,70568,4.227775685,0.003528991,0.322050168,0.035902164,0.130123098,2.51E-04,4.679948951
peak5412,Tns4,ENSMUSG00000017607,Q8BZ33,217169,2.627580712,0.013717298,1.165950854,1.53E-04,0.884770871,4.18E-04,4.678302437
peak361,Acsl3,ENSMUSG00000032883,Q9CZW4,74205,3.220070933,0.001381711,1.168432812,1.00E-07,0.278874388,6.20E-04,4.667378133
peak10702,5-Sep,ENSMUSG00000072214,Q9Z2Q6,18951,3.669666778,0.00412376,0.736905483,4.85E-04,0.170521421,2.09E-06,4.577093682
