"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005902","GO:0005902","microvillus","25/807","36/2408",9.84410097885945e-06,0.00325839742400248,0.00295323029365783,"Vil1/Myo1a/Myo1c/Slc9a3r1/Foxa1/Cdhr2/Ctsl/Iqgap2/Kif13b/Adcy6/Atp6v1a/Ezr/Myo7b/Slc26a2/Car2/Espn/Prom1/Ceacam20/Anks4b/Ptprh/Cdhr5/Nedd4/Hyal2/Ctnnb1/Atp7a",25
"GO:0098858","GO:0098858","actin-based cell projection","37/807","65/2408",7.26239508814928e-05,0.0120192638708871,0.0108935926322239,"Vil1/Myo1a/Utrn/Myo1c/Ppp1r9b/Slc9a3r1/Itga3/Arf6/Syne2/Dync1h1/Foxa1/Cdhr2/Ctsl/Iqgap2/Kif13b/Adcy6/Atp6v1a/Ezr/Myo7b/Slc26a2/Atp8b1/Cfl1/Itga6/Car2/Espn/Prom1/Ceacam20/Cyfip1/Anks4b/Ptprh/Cib1/Cdhr5/Nedd4/Hyal2/Ctnnb1/Mtm1/Atp7a",37
"GO:0099081","GO:0099081","supramolecular polymer","64/807","135/2408",0.000400024689220054,0.0331020430329595,0.0300018516915041,"Dst/Mlph/Kif21b/Map7/Ank3/Misp/Dapk3/Csrp2/Myo1a/Gas2l3/Specc1/Myh2/Myo1c/Ttll6/Sptbn1/Cltc/Krt20/Krt19/Jup/Syne2/Dync1h1/Dsp/Iqgap2/Kif13b/Krt18/Fbxo32/Ndrg1/Fam83h/Plec/Myh9/Krt8/Synj1/Ezr/Cd2ap/Gramd3/Lmnb1/Cdk2ap2/Cdk2ap2/Ahnak/Anxa1/Golga2/Src/Tubb4b/Ino80/Sdc4/Fhdc1/Lmna/Capzb/Macf1/Espn/Sri/Wdr1/Akap13/Actn4/Myh14/Saa1/Aldoa/Ddx6/Ctnnb1/Map2k1/Myzap/Tmod3/Pls1/Mtm1",64
"GO:0099512","GO:0099512","supramolecular fiber","64/807","135/2408",0.000400024689220054,0.0331020430329595,0.0300018516915041,"Dst/Mlph/Kif21b/Map7/Ank3/Misp/Dapk3/Csrp2/Myo1a/Gas2l3/Specc1/Myh2/Myo1c/Ttll6/Sptbn1/Cltc/Krt20/Krt19/Jup/Syne2/Dync1h1/Dsp/Iqgap2/Kif13b/Krt18/Fbxo32/Ndrg1/Fam83h/Plec/Myh9/Krt8/Synj1/Ezr/Cd2ap/Gramd3/Lmnb1/Cdk2ap2/Cdk2ap2/Ahnak/Anxa1/Golga2/Src/Tubb4b/Ino80/Sdc4/Fhdc1/Lmna/Capzb/Macf1/Espn/Sri/Wdr1/Akap13/Actn4/Myh14/Saa1/Aldoa/Ddx6/Ctnnb1/Map2k1/Myzap/Tmod3/Pls1/Mtm1",64
"GO:0042383","GO:0042383","sarcolemma","22/807","36/2408",0.000580945672152242,0.0344119433677992,0.0311890725387908,"Dst/Atp1b1/Ank3/Bsg/Utrn/Cltc/Krt19/Ctsb/Plec/Slc38a2/Adcy6/Krt8/Ezr/Aqp4/Adrb2/Ahnak/Anxa1/Atp1a1/Sri/Slc8b1/Cib1/Anxa2",22
"GO:0005903","GO:0005903","brush border","30/807","54/2408",0.000623781450775816,0.0344119433677992,0.0311890725387908,"Vil1/Slc5a8/Myo1a/Myo1c/Slc9a3r1/Flii/Slc26a3/Cdhr2/Slc9a3/Flnb/Plec/Myh9/Slc38a2/Lima1/Itpr3/Slc3a1/Ezr/Myo7b/Atp8b1/Capzb/Coro2a/Espn/Prom1/Capza2/Anks4b/Ceacam1/Myh14/Cdhr5/Pls1/Atp7a",30
"GO:0098552","GO:0098552","side of membrane","47/807","96/2408",0.00100507971151943,0.0475259120732761,0.0430748447794043,"Dst/Capn2/Map3k5/Icosl/Gna11/Ppp1r9b/Aspscr1/Itga3/Jup/P4hb/Sdc1/Ctsl/Lgals3/Ctsb/Ly6a/Itga5/Litaf/Abcg1/H2-D1/Ezr/H2-K1/Btnl4/Btnl6/H2-T23/Aqp4/Anxa1/Itga6/Tgm3/H13/Src/Osbpl2/Ly75/Gnai3/Errfi1/Ptpn3/Cyth3/Styk1/Kras/Dmbt1/Ceacam1/Nucb1/Calr/Plet1/Hyal2/Myzap/Gnai2/Cdk16",47
